CUENTA;FECHA VISITA;EFECTIVA
472627982;22/04/2024;0
506838208;23/04/2024;0
517160816;23/04/2024;0
524293821;25/04/2024;1
214255245;26/04/2024;1
484623409;26/04/2024;1
260725752;26/04/2024;1
257706227;26/04/2024;1
209644475;29/04/2024;1
230308966;29/04/2024;1
418365375;24/04/2024;0
264611504;25/04/2024;0
323085165;29/04/2024;1
199657869;25/04/2024;0
281045504;29/04/2024;1
196025139;30/04/2024;1
202631872;25/04/2024;0
229702676;25/04/2024;0
569812107;25/04/2024;0
328964288;25/04/2024;0
206578796;30/04/2024;1
425545131;25/04/2024;0
198847665;30/04/2024;1
474587367;2/05/2024;1
534106001;2/05/2024;1
339847610;3/05/2024;1
575885982;27/04/2024;0
536717247;29/04/2024;0
212903957;7/05/2024;1
257706227;29/04/2024;0
480938068;7/05/2024;1
231632131;29/04/2024;0
217843251;29/04/2024;0
193104704;29/04/2024;0
213125802;7/05/2024;1
190707070;7/05/2024;1
540389489;7/05/2024;1
205945927;30/04/2024;0
577323977;30/04/2024;0
576301606;30/04/2024;0
270339548;30/04/2024;0
220601931;30/04/2024;0
263783399;7/05/2024;1
475130124;7/05/2024;1
226168353;7/05/2024;1
290705345;7/05/2024;1
233024952;8/05/2024;1
231932522;8/05/2024;1
226017244;8/05/2024;1
521461407;8/05/2024;1
562169309;8/05/2024;1
227191450;8/05/2024;1
227289604;8/05/2024;1
225622031;8/05/2024;1
239030027;9/05/2024;1
301284600;9/05/2024;1
202683901;9/05/2024;1
196755305;9/05/2024;1
268518832;9/05/2024;1
227463798;9/05/2024;1
558720949;9/05/2024;1
500996401;9/05/2024;1
527394132;9/05/2024;1
511051533;5/03/2024;1
247061560;9/05/2024;1
226494333;9/05/2024;1
500525163;10/05/2024;1
227193014;10/05/2024;1
225897883;10/05/2024;1
547070369;10/05/2024;1
539364070;10/05/2024;1
257048938;10/05/2024;1
225796239;10/05/2024;1
452146434;10/05/2024;1
206664556;10/05/2024;1
190320291;17/05/2024;1
271249509;20/05/2024;1
221525909;20/05/2024;1
271143050;21/05/2024;1
499775517;21/05/2024;1
543823935;21/05/2024;1
529267707;22/05/2024;1
267758103;22/05/2024;1
256052266;22/05/2024;1
477716568;22/05/2024;1
214895513;22/05/2024;1
210617755;22/05/2024;1
210627624;22/05/2024;1
197179548;23/05/2024;1
287404803;23/05/2024;1
221392437;23/05/2024;1
260492423;24/05/2024;1
492135966;24/05/2024;1
494196995;24/05/2024;1
212685202;24/05/2024;1
210145993;24/05/2024;1
190911881;24/05/2024;1
211186215;24/05/2024;1
205560602;24/05/2024;1
537147131;12/02/2024;0
208711215;27/05/2024;1
231339319;28/05/2024;1
232051379;28/05/2024;1
192933001;28/05/2024;1
233890343;30/05/2024;1
486889977;8/02/2024;1
547844186;10/02/2024;1
338204142;10/02/2024;1
216712031;31/05/2024;1
481061092;31/05/2024;1
389064736;12/02/2024;1
190678303;31/05/2024;1
501544183;31/05/2024;1
195532723;31/05/2024;1
258955498;4/06/2024;1
309104803;5/06/2024;1
191541209;5/06/2024;1
261097039;5/06/2024;1
466285473;6/06/2024;1
466569144;6/06/2024;1
483098096;6/06/2024;1
268476945;15/02/2024;0
468406400;6/06/2024;1
252342162;15/02/2024;1
524347251;14/02/2024;1
524347251;14/02/2024;0
430945661;7/06/2024;1
193800025;7/06/2024;1
481505601;7/06/2024;1
206382449;7/06/2024;1
201704404;7/06/2024;1
190498617;11/06/2024;1
190662732;19/02/2024;0
194951093;11/06/2024;1
193384510;11/06/2024;1
192276499;20/02/2024;1
199148852;12/06/2024;1
206892233;12/06/2024;1
198969834;13/06/2024;1
199919228;13/06/2024;1
497415084;13/06/2024;1
208088558;14/06/2024;1
519120038;23/02/2024;1
202843939;26/02/2024;0
220311519;14/06/2024;1
251068352;14/06/2024;1
190984535;14/06/2024;1
264162931;17/06/2024;1
475616993;17/06/2024;1
534381902;17/06/2024;1
527918760;17/06/2024;1
250323393;27/02/2024;1
205790953;27/02/2024;0
207971324;17/06/2024;1
